emoji_name,count,emoji_url
excusemewhat,-1,https://emoji.slack-edge.com/T0XNJNF35/excusemewhat/72f5ff2f532b9fba.png
exploding_heart,-1,https://emoji.slack-edge.com/T0XNJNF35/exploding_heart/cf02a8530ae822b6.gif
eye-heart-money,2,https://emoji.slack-edge.com/T0XNJNF35/eye-heart-money/43baa79415cd7ad1.png
eyebrows,6,https://emoji.slack-edge.com/T0XNJNF35/eyebrows/376ea28f74fd2d0f.gif
ez,21,https://emoji.slack-edge.com/T0XNJNF35/ez/dd062f37977acf39.png
fatcat,6,https://emoji.slack-edge.com/T0XNJNF35/fatcat/dd062f37977acf39.png
feels-santa-man-xmas,2,https://emoji.slack-edge.com/T0XNJNF35/feels-santa-man-xmas/360db1b12db07f21.png
feels-xmas-man,1,https://emoji.slack-edge.com/T0XNJNF35/feels-xmas-man/89d266e947be99e3.png
feels-xmas-man-2,-1,https://emoji.slack-edge.com/T0XNJNF35/feels-xmas-man-2/ec198310bab032ad.png
feelsbad-hug,1,https://emoji.slack-edge.com/T0XNJNF35/feelsbad-hug/b8093af0ae9f9a28.png
feelsbadman,12,https://emoji.slack-edge.com/T0XNJNF35/feelsbadman/d943297286d1e894.png
feelsbirthdayman,6,https://emoji.slack-edge.com/T0XNJNF35/feelsbirthdayman/f0c9a33c18bcef45.png
feelsfatherman,-1,https://emoji.slack-edge.com/T0XNJNF35/feelsfatherman/35f477a364b83683.png
feelsgoodman,1,https://emoji.slack-edge.com/T0XNJNF35/feelsgoodman/641f7f28f88ec568.png
feelshighman,5,https://emoji.slack-edge.com/T0XNJNF35/feelshighman/b6fd70b52358df8f.gif
feelsrainman,2,https://emoji.slack-edge.com/T0XNJNF35/feelsrainman/82782ec4ad48e739.gif
feelsstrongman,1,https://emoji.slack-edge.com/T0XNJNF35/feelsstrongman/5093079348e03b0f.png
fingerquotes,6,https://emoji.slack-edge.com/T0XNJNF35/fingerquotes/c6fdef85429c8f2b.gif
finnfear,-1,https://emoji.slack-edge.com/T0XNJNF35/finnfear/96a9d5a8b456963d.gif
fireball,3,https://emoji.slack-edge.com/T0XNJNF35/fireball/487bb8417d953499.gif
fireflower,1,https://emoji.slack-edge.com/T0XNJNF35/fireflower/ebde15a64ae4d3d9.png
flooshed,1,https://emoji.slack-edge.com/T0XNJNF35/flooshed/0eabcb45a7afe971.png
fresh-shave,-1,https://emoji.slack-edge.com/T0XNJNF35/fresh-shave/cb010ef107da90cc.png
galaxy-brain,-1,https://emoji.slack-edge.com/T0XNJNF35/galaxy-brain/b226f15d80d58a54.jpg
galaxy-brain-2,2,https://emoji.slack-edge.com/T0XNJNF35/galaxy-brain-2/178b28dd02767b80.jpg
galaxy-brain-3,-1,https://emoji.slack-edge.com/T0XNJNF35/galaxy-brain-3/b77ec02306685021.png
gandalfpls,15,https://emoji.slack-edge.com/T0XNJNF35/gandalfpls/4ca7307e353b442b.gif
geek-wow,1,https://emoji.slack-edge.com/T0XNJNF35/geek-wow/f832cd9168972b98.gif
gentleblob,1,https://emoji.slack-edge.com/T0XNJNF35/gentleblob/526b4789a6b94249.png
gigachad,2,https://emoji.slack-edge.com/T0XNJNF35/gigachad/1d1d1ec60dbb8463.png
gm,-1,https://emoji.slack-edge.com/T0XNJNF35/gm/14d57c8c1c913377.png
goku,2,https://emoji.slack-edge.com/T0XNJNF35/goku/1bd0a9319d4bf9bc.gif
goon,4,https://emoji.slack-edge.com/T0XNJNF35/goon/4a6f2f5d0581472f.png
grandpa-abe-exit,1,https://emoji.slack-edge.com/T0XNJNF35/grandpa-abe-exit/64d151a828740b5a.gif
greatsuccess,1,https://emoji.slack-edge.com/T0XNJNF35/greatsuccess/6e2fd8e034739a6d.jpg
greenfire,1,https://emoji.slack-edge.com/T0XNJNF35/greenfire/958949e5456f897e.png
grilled-cheese,-1,https://emoji.slack-edge.com/T0XNJNF35/grilled-cheese/c178988b2bc754e3.gif
grimace-suffer,7,https://emoji.slack-edge.com/T0XNJNF35/grimace-suffer/b253c96ea4ad3ba5.png
grouch,1,https://emoji.slack-edge.com/T0XNJNF35/grouch/70c5b6f4d436233c.jpg
grumpycat,-1,https://emoji.slack-edge.com/T0XNJNF35/grumpycat/9db0b530a1f39fa3.png
gull-scream,-1,https://emoji.slack-edge.com/T0XNJNF35/gull-scream/2a17f987db936b38.gif
haha,-1,https://a.slack-edge.com/production-standard-emoji-assets/14.0/apple-large/1f602.png
haha-business,-1,https://emoji.slack-edge.com/T0XNJNF35/haha-business/9a97763d084e413d.png
haku-sway,-1,https://emoji.slack-edge.com/T0XNJNF35/haku-sway/79eb69107e8739d8.gif
